*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=CicadaPCB
*Date=23:28:47
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;1000µF;200 mil [THT, electrolytic];27.489;-64.3209;-90;Bottom;C6
2;1k;THT;66.2088;-47.6608;0;Bottom;R6
3;;;70.9889;-27.9609;0;Bottom;Via35
4;;;29.591;-75.1067;0;Bottom;Copper Fill104
5;;;43.0149;-5.5488;0;Bottom;Copper Fill57
6;;THT;68.1189;-73.4609;90;Bottom;J1
7;;;36.5252;-60.8827;0;Bottom;Copper Fill69
8;;;14.3256;-26.7959;0;Bottom;Copper Fill149
9;;;70.8152;-40.1055;0;Bottom;Copper Fill114
10;;;93.1771;-33.9994;-90;Bottom;TXT3
11;;;53.1875;-18.4013;0;Bottom;Via6
12;;;64.2493;-10.7304;0;Bottom;Copper Fill153
13;;;2.6289;-56.425;0;Bottom;Copper Fill34
14;;;25.2349;-15.8104;0;Bottom;Copper Fill50
15;;;1.016;-54.7359;0;Bottom;Copper Fill35
16;;;47.2889;-60.2609;0;Bottom;Via25
17;;;24.3586;-16.6359;0;Bottom;Copper Fill51
18;;;5.2578;-27.1007;0;Bottom;Copper Fill53
19;;;47.9806;-45.9856;0;Bottom;Copper Fill6
20;;;34.6964;-6.4759;0;Bottom;Copper Fill147
21;;;61.722;-13.372;0;Bottom;Copper Fill93
22;;;27.4701;-60.9716;0;Bottom;Copper Fill38
23;;;70.9889;-20.2609;0;Bottom;Via38
24;;;18.0086;-53.4659;0;Bottom;Copper Fill43
25;;;61.6819;-75.9388;0;Bottom;TXT4
26;;;57.5437;-19.6204;0;Bottom;Copper Fill151
27;;;44.0309;-77.3546;0;Bottom;Copper Fill111
28;;;79.6647;-8.78262;0;Bottom;TXT4
29;0.22mF;200 mil [THT, electrolytic];21.4489;-53.4309;0;Bottom;C7
30;;;74.5089;-8.78262;0;Bottom;TXT4
31;;;30.6324;-81.4059;0;Bottom;Copper Fill108
32;;;70.1889;-60.2609;0;Bottom;Via28
