*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=CicadaPCB
*Date=00:08:25
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;82.7889;-60.2608;0;Bottom;Via33
2;;;74.2019;-75.9388;0;Bottom;TXT4
3;;;28.6889;-27.061;0;Bottom;Via3
4;;;56.3118;-31.3806;0;Bottom;Copper Fill95
5;;;1.6002;-40.7659;0;Bottom;Copper Fill56
6;;;57.0484;-19.1251;0;Bottom;Copper Fill92
7;;;14.3256;-26.7959;0;Bottom;Copper Fill159
8;;;57.5437;-19.6204;0;Bottom;Copper Fill90
9;;;61.7093;-72.6048;0;Bottom;Copper Fill52
10;;;24.3586;-16.6359;0;Bottom;Copper Fill47
11;;;35.889;-41.261;0;Bottom;Via13
12;;;31.5849;-82.3584;0;Bottom;Copper Fill36
13;;300 mil [THT];24.8889;-42.0762;-90;Bottom;D4
14;;;36.5252;-60.8827;0;Bottom;Copper Fill147
15;;;69.4891;-8.78273;0;Bottom;TXT4
16;;;87.4649;-56.7552;0;Bottom;Copper Fill61
17;;;55.7784;-32.7014;0;Bottom;Copper Fill11
18;;;56.4889;-34.2607;0;Bottom;Via15
19;;cap-pth-small2;17.2889;-43.2308;90;Bottom;C8
20;;;58.0136;-19.1251;0;Bottom;Copper Fill170
21;;;31.5468;-51.4847;0;Bottom;Copper Fill162
22;;;48.6156;-26.2371;0;Bottom;Copper Fill164
23;;;76.0222;-16.0898;0;Bottom;Copper Fill99
24;;;21.0693;-46.3412;0;Bottom;Copper Fill140
25;;;5.2578;-27.1007;0;Bottom;Copper Fill129
26;1000µF;200 mil [THT, electrolytic];27.489;-64.3209;-90;Bottom;C6
27;;;52.4637;-59.8286;0;Bottom;Copper Fill156
28;;;29.591;-75.1067;0;Bottom;Copper Fill117
29;;;93.2582;-59.3417;-90;Bottom;TXT1
30;;;74.8284;-24.5988;0;Bottom;Copper Fill21
31;;;61.7093;-74.3828;0;Bottom;Copper Fill51
32;;;71.6661;-40.9564;0;Bottom;Copper Fill42
33;;;11.2649;-22.1604;0;Bottom;Copper Fill142
34;;;43.0149;-7.4284;0;Bottom;Copper Fill57
35;;3 mm [THT];4.24787;-40.731;-90;Bottom;LED1
36;;;60.325;-14.0578;0;Bottom;Copper Fill102
37;;;88.5741;-21.7793;-90;Bottom;IMG1
38;;;70.989;-20.2608;0;Bottom;Via38
39;;;66.8006;-8.78273;0;Bottom;TXT4
40;;;51.943;-60.3239;0;Bottom;Copper Fill82
41;;;31.5468;-51.4847;0;Bottom;Copper Fill78
42;;;15.0749;-27.5452;0;Bottom;Copper Fill158
43;;;86.6902;-56.0059;0;Bottom;Copper Fill62
44;;;49.4665;-27.088;0;Bottom;Copper Fill163
45;;;25.2349;-17.4868;0;Bottom;Copper Fill45
46;1k;THT;13.8289;-61.0509;90;Bottom;R1
47;;;16.51;-44.5251;0;Bottom;Copper Fill74
48;;;23.6601;-75.8814;0;Bottom;Copper Fill118
49;;400 mil [THT];35.089;-72.5809;90;Bottom;L1
50;;;80.289;-60.2608;0;Bottom;Via32
51;;;71.6026;-37.0575;0;Bottom;Copper Fill151
52;;;17.9832;-44.5251;0;Bottom;Copper Fill154
53;;;51.943;-60.3239;0;Bottom;Copper Fill157
54;;;87.4649;-56.7552;0;Bottom;Copper Fill136
55;;;31.5849;-80.4788;0;Bottom;Copper Fill120
56;;;72.517;-40.1055;0;Bottom;Copper Fill127
57;;;74.589;-20.2608;0;Bottom;Via40
58;;;58.0644;-32.6506;0;Bottom;Copper Fill12
59;;;36.0553;-61.4034;0;Bottom;Copper Fill145
60;;;74.509;-8.78273;0;Bottom;TXT4
61;;;80.0889;-33.8608;0;Bottom;Via10
62;;;2.3749;-40.042;0;Bottom;Copper Fill131
63;;;52.2889;-36.2609;0;Bottom;Via12
64;;;5.6769;-48.2716;0;Bottom;Copper Fill32
65;;THT;30.4659;-5.93277;90;Bottom;DHT22
66;;;64.2838;-8.78273;0;Bottom;TXT4
67;;;2.6289;-74.205;0;Bottom;Copper Fill28
68;10k;THT;21.1088;-42.041;-90;Bottom;R11
69;;;23.6601;-74.3574;0;Bottom;Copper Fill119
70;;;1.6002;-40.7659;0;Bottom;Copper Fill132
71;;;88.759;-5.17079;0;Bottom;Hole2
72;;;70.989;-27.961;0;Bottom;Via35
73;;;56.7764;-75.9388;0;Bottom;TXT4
74;;cap-pth-small2;16.3689;-26.7609;0;Bottom;C9
75;;;50.7492;-63.3846;0;Bottom;Copper Fill1
76;;;59.1538;-75.9388;0;Bottom;TXT4
77;1k;THT;20.1789;-16.6009;180;Bottom;R9
78;;;69.2009;-75.9388;0;Bottom;TXT4
79;0.22mF;200 mil [THT, electrolytic];21.4489;-53.4309;0;Bottom;C7
80;;;59.6646;-42.328;0;Bottom;Copper Fill8
81;;;71.1073;-36.5622;0;Bottom;Copper Fill149
82;;;43.561;-30.0852;0;Bottom;Copper Fill13
83;;;77.0089;-8.78273;0;Bottom;TXT4
84;;;18.8849;-52.6404;0;Bottom;Copper Fill122
85;;;61.682;-75.9388;0;Bottom;TXT4
86;;;29.9593;-14.9976;0;Bottom;Copper Fill67
87;;;59.9694;-34.835;0;Bottom;Copper Fill94
88;;;27.4701;-62.6734;0;Bottom;Copper Fill114
