*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=CicadaPCBv2
*Date=09:16:51
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;30.4019;-2.3075;0;Bottom;TXT2
2;;[THT];88.839;-33.7109;90;Bottom;S1
3;;;18.8849;-52.6404;0;Bottom;Copper Fill34
4;;;28.8417;-74.3574;0;Bottom;Copper Fill121
5;;;30.3307;-1.034;0;Bottom;TXT2
6;;;70.612;-37.0575;0;Bottom;Copper Fill65
7;1k;THT;13.8289;-61.0509;90;Bottom;R1
8;;;30.989;-32.3608;0;Bottom;Via3
9;;;9.6393;-43.7504;0;Bottom;Copper Fill117
10;;;72.517;-40.1055;0;Bottom;Copper Fill132
11;;;17.1704;-14.0959;0;Bottom;Copper Fill71
12;;;49.4665;-27.088;0;Bottom;Copper Fill175
13;;;46.6344;-8.87617;0;Bottom;Copper Fill21
14;;;44.1452;-53.8215;0;Bottom;Copper Fill84
15;;TO-220F-5L;23.6889;-75.0609;-90;Bottom;LM2596
16;;;89.3571;-12.4007;-90;Bottom;IMG2
17;;;53.2257;-48.0684;0;Bottom;Copper Fill172
18;;;31.1277;-12.737;0;Bottom;Copper Fill38
19;;;2.6289;-56.425;0;Bottom;Copper Fill26
20;;;36.0888;-60.8608;0;Bottom;Via18
21;;;59.1538;-75.9388;0;Bottom;TXT4
22;;;88.1888;-50.9767;0;Bottom;Copper Fill141
23;;;7.37464;-41.4076;-90;Bottom;TXT6
24;;300 mil [THT];22.7889;-42.3762;-90;Bottom;D5
25;;;44.7802;-76.5799;0;Bottom;Copper Fill36
26;;;49.789;-33.3607;0;Bottom;Via4
27;;;48.6664;-58.457;0;Bottom;Copper Fill4
28;;;1.016;-72.5159;0;Bottom;Copper Fill112
29;;;36.0553;-61.4034;0;Bottom;Copper Fill156
30;;3 mm [THT];87.489;-49.0817;0;Bottom;G
31;;300 mil [THT];17.6135;-69.9409;180;Bottom;D2
32;;;36.449;-56.3107;0;Bottom;Copper Fill54
33;;;80.0889;-33.8608;0;Bottom;Via10
34;;;51.943;-60.3239;0;Bottom;Copper Fill170
35;;;52.489;-60.2608;0;Bottom;Via26
36;;;79.3496;-25.6656;0;Bottom;Copper Fill14
37;;;23.4442;-15.0992;0;Bottom;Copper Fill104
38;;;37.2888;-28.561;0;Bottom;Via5
39;;THT;14.2722;-26.4054;180;Bottom;PC819
40;;;13.6906;-42.3026;0;Bottom;Copper Fill88
41;;;67.7888;-29.0608;0;Bottom;Via36
42;;;26.9888;-42.6608;0;Bottom;Via48
43;;;61.289;-36.9608;0;Bottom;Via16
44;;;43.2562;-76.5799;0;Bottom;Copper Fill130
45;;;79.6648;-8.78273;0;Bottom;TXT4
46;;;87.4649;-56.7552;0;Bottom;Copper Fill48
47;1k;THT;23.1888;-25.341;90;Bottom;R20
48;;;19.5326;-45.0204;0;Bottom;Copper Fill87
49;;;60.3504;-32.6506;0;Bottom;Copper Fill10
50;;cap-pth-small2;41.1889;-46.031;90;Bottom;C9
51;;THT;68.1188;-73.4609;90;Bottom;J1
52;;;2.93864;-53.6214;0;Bottom;Power
53;;;34.6964;-6.47587;0;Bottom;Copper Fill166
54;;3 mm [THT];4.24787;-40.731;-90;Bottom;LED1
55;;;55.7276;-11.6067;0;Bottom;Copper Fill155
56;;;2.6289;-74.205;0;Bottom;Copper Fill24
57;;;89.8687;-68.304;-90;Bottom;TXT1
58;;;56.2557;-8.78273;0;Bottom;TXT4
59;;;26.7462;-41.82;0;Bottom;Copper Fill91
60;;;76.5991;-75.9388;0;Bottom;TXT4
61;1k;THT;76.8088;-40.0609;0;Bottom;R8
62;;;41.3004;-12.8259;0;Bottom;Copper Fill158
63;;;52.6669;-25.818;0;Bottom;Copper Fill82
64;;;80.3889;-20.2608;0;Bottom;Via43
65;;;27.4701;-62.6734;0;Bottom;Copper Fill119
66;;;45.1104;-53.8215;0;Bottom;Copper Fill180
67;;;40.4114;-47.3191;0;Bottom;Copper Fill135
68;;;31.1277;-14.4388;0;Bottom;Copper Fill133
69;;;2.93864;-71.4014;0;Bottom;Battery
70;;;27.6098;-15.658;0;Bottom;Copper Fill100
71;;;72.6888;-29.0608;0;Bottom;Via37
72;;;58.7756;-33.565;0;Bottom;Copper Fill9
73;;;53.9496;-47.3191;0;Bottom;Copper Fill174
74;;;23.6601;-74.3574;0;Bottom;Copper Fill124
75;;;29.591;-75.1067;0;Bottom;Copper Fill122
76;;;73.533;-18.706;0;Bottom;Copper Fill102
77;;;88.1888;-45.8967;0;Bottom;Copper Fill140
78;;;78.5889;-20.2608;0;Bottom;Via42
79;;;52.4129;-55.5614;0;Bottom;Copper Fill168
80;;;20.9804;-40.8294;0;Bottom;Copper Fill90
81;;;47.9044;-4.79947;0;Bottom;Copper Fill139
82;;;5.6769;-66.0516;0;Bottom;Copper Fill22
83;;;64.2493;-10.7304;0;Bottom;Copper Fill114
84;;;58.801;-31.5838;0;Bottom;Copper Fill96
85;;;76.689;-20.2608;0;Bottom;Via41
86;;;66.5873;-75.9388;0;Bottom;TXT4
87;;;7.3152;-67.6899;0;Bottom;Copper Fill110
88;1k;THT;34.0888;-18.601;-90;Bottom;R14
89;;;82.7889;-60.2608;0;Bottom;Via33
90;;;71.7255;-75.9388;0;Bottom;TXT4
91;;;33.8201;-5.59957;0;Bottom;Copper Fill165
92;;;11.7962;-42.7741;-90;Bottom;TXT7
93;;;54.7878;-35.2668;0;Bottom;Copper Fill11
94;;;56.7764;-75.9388;0;Bottom;TXT4
95;;;69.0118;-28.1294;0;Bottom;Copper Fill12
96;;;57.1246;-35.089;0;Bottom;Copper Fill93
97;;;17.1704;-27.8119;0;Bottom;Copper Fill69
98;;;69.4891;-8.78273;0;Bottom;TXT4
99;;;43.7896;-51.1291;0;Bottom;Copper Fill178
100;;;65.8622;-43.5218;0;Bottom;Copper Fill7
